Setor Econômico,Participação no Emprego (%)
Serviço,51.088855189285646
Comércio,21.319181458387497
Industria Transformação,15.973189097725838
Construção,6.719100602484635
Agropecuária,2.633193586950963
Sem Fins Lucrativos,1.4271916985921966
SIUP - Serviços Industrias De Utilidade Pública,0.6881787165596459
Extrativa Mineral,0.09467164229127807
Administração Pública,0.0551828406735903
Não especificado,0.0012551670487137008
