Ano,Valor_Industria,Total_Geral,Participação (%)
2016,3038426,19120516,15.8909205169986
2017,2921624,18669385,15.649278216716834
2018,2917683,18942186,15.40309550333842
2019,2937036,19207029,15.291464390458307
2020,2946092,18888463,15.597309320509561
2021,3074650,20226356,15.201205793075134
2022,3245709,22380845,14.50217362213089
2023,3362868,22536792,14.921680068751577
2024,3588717,22467129,15.973189097725838
